"Outs"	"Bases"	"Mean"	"Season"	"Prob"	"Prob2"
"118"	2	"“103”"	0.5	2018	0.265	0.129
"119"	2	"“120”"	0.44	2018	0.223	0.12
"120"	2	"“123”"	0.77	2018	0.314	0.22
"121"	0	"“000”"	0.53	2019	0.288	0.136
"122"	0	"“003”"	1.43	2019	0.829	0.311
"123"	0	"“020”"	1.17	2019	0.605	0.288
"124"	0	"“023”"	2.04	2019	0.865	0.599
"125"	0	"“100”"	0.94	2019	0.432	0.272
"126"	0	"“103”"	1.8	2019	0.843	0.434
"127"	0	"“120”"	1.55	2019	0.629	0.42
"128"	0	"“123”"	2.32	2019	0.86	0.611
"129"	1	"“000”"	0.29	2019	0.173	0.07
"130"	1	"“003”"	1	2019	0.648	0.199
"131"	1	"“020”"	0.72	2019	0.408	0.184
"132"	1	"“023”"	1.42	2019	0.683	0.415
"133"	1	"“100”"	0.56	2019	0.276	0.166
"134"	1	"“103”"	1.23	2019	0.64	0.287
"135"	1	"“120”"	1	2019	0.434	0.272
"136"	1	"“123”"	1.63	2019	0.669	0.413
"137"	2	"“000”"	0.11	2019	0.077	0.024
"138"	2	"“003”"	0.38	2019	0.26	0.08
"139"	2	"“020”"	0.33	2019	0.219	0.077
"140"	2	"“023”"	0.6	2019	0.262	0.213
"141"	2	"“100”"	0.24	2019	0.13	0.073
"142"	2	"“103”"	0.54	2019	0.289	0.135
"143"	2	"“120”"	0.46	2019	0.227	0.124
"144"	2	"“123”"	0.77	2019	0.324	0.222
"145"	0	"“000”"	0.57	2000	0.302	0.146
"146"	0	"“003”"	1.51	2000	0.861	0.358
"147"	0	"“020”"	1.18	2000	0.633	0.281
"148"	0	"“023”"	2.04	2000	0.845	0.603
"149"	0	"“100”"	0.97	2000	0.447	0.272
"150"	0	"“103”"	1.9	2000	0.88	0.459
"151"	0	"“120”"	1.62	2000	0.652	0.434
"152"	0	"“123”"	2.54	2000	0.885	0.639
"153"	1	"“000”"	0.31	2000	0.18	0.076
"154"	1	"“003”"	0.99	2000	0.673	0.19
"155"	1	"“020”"	0.73	2000	0.416	0.178
"156"	1	"“023”"	1.5	2000	0.71	0.417
"157"	1	"“100”"	0.6	2000	0.291	0.171
"158"	1	"“103”"	1.22	2000	0.659	0.285
"159"	1	"“120”"	1.01	2000	0.436	0.275
"160"	1	"“123”"	1.7	2000	0.683	0.431
"161"	2	"“000”"	0.12	2000	0.082	0.028
"162"	2	"“003”"	0.41	2000	0.279	0.082
"163"	2	"“020”"	0.33	2000	0.22	0.073
"164"	2	"“023”"	0.64	2000	0.278	0.226
"165"	2	"“100”"	0.26	2000	0.144	0.081
"166"	2	"“103”"	0.51	2000	0.279	0.128
"167"	2	"“120”"	0.48	2000	0.238	0.134
"168"	2	"“123”"	0.82	2000	0.332	0.238
"169"	0	"“000”"	0.53	2001	0.288	0.133
"170"	0	"“003”"	1.52	2001	0.86	0.339
"171"	0	"“020”"	1.17	2001	0.63	0.285
"172"	0	"“023”"	2.04	2001	0.87	0.579
"173"	0	"“100”"	0.92	2001	0.43	0.256
"174"	0	"“103”"	1.85	2001	0.859	0.456
"175"	0	"“120”"	1.53	2001	0.632	0.413
"176"	0	"“123”"	2.37	2001	0.869	0.61
"177"	1	"“000”"	0.28	2001	0.171	0.068
"178"	1	"“003”"	0.98	2001	0.657	0.188
"179"	1	"“020”"	0.7	2001	0.398	0.173
"180"	1	"“023”"	1.42	2001	0.684	0.407
"181"	1	"“100”"	0.55	2001	0.278	0.156
"182"	1	"“103”"	1.26	2001	0.651	0.297
"183"	1	"“120”"	0.91	2001	0.415	0.257
"184"	1	"“123”"	1.6	2001	0.663	0.414
"185"	2	"“000”"	0.11	2001	0.078	0.025
"186"	2	"“003”"	0.37	2001	0.257	0.074
"187"	2	"“020”"	0.35	2001	0.227	0.076
"188"	2	"“023”"	0.6	2001	0.274	0.213
"189"	2	"“100”"	0.24	2001	0.134	0.073
"190"	2	"“103”"	0.52	2001	0.278	0.131
"191"	2	"“120”"	0.43	2001	0.222	0.116
"192"	2	"“123”"	0.8	2001	0.323	0.238
"193"	0	"“000”"	0.51	2002	0.279	0.129
"194"	0	"“003”"	1.4	2002	0.854	0.273
"195"	0	"“020”"	1.15	2002	0.624	0.275
"196"	0	"“023”"	1.97	2002	0.85	0.61
"197"	0	"“100”"	0.9	2002	0.422	0.25
"198"	0	"“103”"	1.85	2002	0.882	0.446
"199"	0	"“120”"	1.51	2002	0.631	0.413
"200"	0	"“123”"	2.33	2002	0.873	0.589
"201"	1	"“000”"	0.27	2002	0.164	0.066
"202"	1	"“003”"	0.94	2002	0.644	0.167
"203"	1	"“020”"	0.69	2002	0.396	0.166
"204"	1	"“023”"	1.36	2002	0.668	0.382
"205"	1	"“100”"	0.54	2002	0.272	0.151
"206"	1	"“103”"	1.2	2002	0.638	0.272
"207"	1	"“120”"	0.94	2002	0.421	0.258
"208"	1	"“123”"	1.51	2002	0.653	0.391
"209"	2	"“000”"	0.1	2002	0.07	0.022
"210"	2	"“003”"	0.36	2002	0.25	0.072
"211"	2	"“020”"	0.32	2002	0.213	0.072
"212"	2	"“023”"	0.63	2002	0.273	0.219
"213"	2	"“100”"	0.23	2002	0.125	0.067
"214"	2	"“103”"	0.53	2002	0.277	0.133
"215"	2	"“120”"	0.45	2002	0.227	0.122
"216"	2	"“123”"	0.77	2002	0.315	0.225
"217"	0	"“000”"	0.53	2003	0.285	0.131
"218"	0	"“003”"	1.38	2003	0.838	0.285
"219"	0	"“020”"	1.18	2003	0.636	0.29
"220"	0	"“023”"	2.03	2003	0.867	0.603
"221"	0	"“100”"	0.92	2003	0.435	0.251
"222"	0	"“103”"	1.88	2003	0.86	0.451
"223"	0	"“120”"	1.56	2003	0.647	0.411
"224"	0	"“123”"	2.48	2003	0.891	0.624
"225"	1	"“000”"	0.28	2003	0.167	0.067
"226"	1	"“003”"	1.03	2003	0.691	0.197
"227"	1	"“020”"	0.71	2003	0.41	0.169
"228"	1	"“023”"	1.42	2003	0.689	0.405
"229"	1	"“100”"	0.54	2003	0.274	0.153
"230"	1	"“103”"	1.21	2003	0.643	0.289
"231"	1	"“120”"	0.91	2003	0.42	0.256
"232"	1	"“123”"	1.56	2003	0.662	0.398
"233"	2	"“000”"	0.11	2003	0.073	0.024
"234"	2	"“003”"	0.39	2003	0.276	0.074
"235"	2	"“020”"	0.34	2003	0.223	0.074
"236"	2	"“023”"	0.55	2003	0.249	0.2
"237"	2	"“100”"	0.24	2003	0.132	0.071
"238"	2	"“103”"	0.52	2003	0.281	0.131
"239"	2	"“120”"	0.45	2003	0.229	0.122
"240"	2	"“123”"	0.8	2003	0.326	0.233
"241"	0	"“000”"	0.53	2004	0.286	0.134
"242"	0	"“003”"	1.45	2004	0.823	0.29
"243"	0	"“020”"	1.17	2004	0.632	0.287
"244"	0	"“023”"	2.15	2004	0.889	0.63
"245"	0	"“100”"	0.92	2004	0.43	0.255
"246"	0	"“103”"	1.86	2004	0.843	0.453
"247"	0	"“120”"	1.49	2004	0.623	0.396
"248"	0	"“123”"	2.28	2004	0.852	0.581
"249"	1	"“000”"	0.28	2004	0.168	0.07
"250"	1	"“003”"	0.97	2004	0.648	0.187
"251"	1	"“020”"	0.71	2004	0.404	0.176
"252"	1	"“023”"	1.47	2004	0.688	0.428
"253"	1	"“100”"	0.55	2004	0.274	0.157
"254"	1	"“103”"	1.23	2004	0.64	0.293
"255"	1	"“120”"	0.97	2004	0.421	0.267
"256"	1	"“123”"	1.6	2004	0.662	0.424
"257"	2	"“000”"	0.11	2004	0.075	0.025
"258"	2	"“003”"	0.37	2004	0.26	0.07
"259"	2	"“020”"	0.34	2004	0.219	0.074
"260"	2	"“023”"	0.62	2004	0.276	0.218
"261"	2	"“100”"	0.24	2004	0.133	0.071
"262"	2	"“103”"	0.53	2004	0.279	0.135
"263"	2	"“120”"	0.46	2004	0.233	0.124
"264"	2	"“123”"	0.82	2004	0.331	0.241
"265"	0	"“000”"	0.51	2005	0.276	0.129
"266"	0	"“003”"	1.52	2005	0.826	0.317
"267"	0	"“020”"	1.14	2005	0.624	0.271
"268"	0	"“023”"	2.05	2005	0.858	0.606
"269"	0	"“100”"	0.9	2005	0.421	0.248
"270"	0	"“103”"	1.82	2005	0.844	0.438
"271"	0	"“120”"	1.47	2005	0.613	0.389
"272"	0	"“123”"	2.35	2005	0.856	0.604
"273"	1	"“000”"	0.28	2005	0.163	0.068
"274"	1	"“003”"	0.97	2005	0.658	0.181
"275"	1	"“020”"	0.69	2005	0.41	0.165
"276"	1	"“023”"	1.42	2005	0.674	0.402
"277"	1	"“100”"	0.55	2005	0.276	0.159
"278"	1	"“103”"	1.18	2005	0.639	0.265
"279"	1	"“120”"	0.92	2005	0.416	0.255
"280"	1	"“123”"	1.54	2005	0.65	0.399
"281"	2	"“000”"	0.11	2005	0.07	0.024
"282"	2	"“003”"	0.38	2005	0.264	0.077
"283"	2	"“020”"	0.35	2005	0.226	0.075
"284"	2	"“023”"	0.61	2005	0.268	0.218
"285"	2	"“100”"	0.24	2005	0.13	0.071
"286"	2	"“103”"	0.52	2005	0.28	0.133
"287"	2	"“120”"	0.44	2005	0.225	0.12
"288"	2	"“123”"	0.75	2005	0.311	0.228
"289"	0	"“000”"	0.54	2006	0.29	0.136
"290"	0	"“003”"	1.44	2006	0.844	0.298
"291"	0	"“020”"	1.15	2006	0.625	0.272
