pitcher balls strikes plate_x plate_z pitch_type stand
645261 1 0 -0.6237 1.4796 CU L
458681 0 0 -1.2602 2.1217 CU R
608337 2 2 -0.4837 2.4047 CH L
608337 1 2 0.2615 1.5269 CU L
571578 0 0 -0.8387 2.1336 FF L
645261 0 0 -0.2514 1.2115 SL L
458681 3 1 -0.3559 2.6271 FT L
645261 2 2 -0.7327 2.511 SL L
458681 3 0 -0.8105 2.4493 FT L
608337 1 1 0.3101 2.5115 FF L
608337 1 0 -0.7263 2.6375 CH L
645261 1 2 -0.9529 4.1409 FF L
458681 2 0 1.3828 0.6081 FC L
645261 0 2 -2.2066 3.7056 FF L
608337 0 0 0.2939 0.7054 FF L
458681 1 0 -1.7869 3.2885 CH L
645261 0 1 -0.875 2.7658 CH L
608337 0 0 -0.3713 1.6932 CH L
458681 0 0 -0.5388 1.1333 FT L
645261 0 0 -0.0313 1.5735 SI L
458681 1 2 0.1675 2.5604 FF L
645261 0 2 0.7395 2.6106 CU R
458681 1 2 -0.4714 2.796 FC L
458681 0 2 1.1479 -0.2499 FC L
645261 0 1 -0.1363 3.6116 FF R
645261 0 0 0.4812 2.9017 FF R
458681 0 1 0.4575 3.4102 FF L
458681 0 0 0.5707 3.3606 FF L
458681 1 2 -0.5898 1.8276 FT R
458681 1 1 -1.1237 1.1232 FT R
571578 2 2 -1.1363 0.2041 SL R
458681 1 0 0.1247 1.2845 FC R
458681 0 0 -0.1918 0.5952 FT R
571578 2 1 -0.679 0.6486 SL R
571578 1 1 -1.2503 3.6935 FF R
458681 1 0 0.2533 3.0121000000000002 FC L
608337 2 2 0.2139 2.6708 FF R
458681 0 0 -1.5116 3.0648 FT L
571578 1 0 -0.3242 2.188 SL R
571578 0 0 -1.434 2.8087 FF R
458681 2 2 -0.5653 2.6573 FF L
608337 2 1 0.6036 3.4035 SL R
608337 1 1 -1.1643 3.5115 FF R
571578 2 2 -0.2524 1.4793 FT R
458681 1 2 1.4006 -0.2002 CU L
458681 0 2 1.5593 -2.073 CU L
608337 1 0 0.3043 2.8418 SL R
571578 2 1 -0.3698 1.5335 SL R
608337 0 0 1.4746 0.6668 FF R
571578 1 1 -0.9214 1.0805 FT R
458681 0 1 0.5964 2.814 FC L
571578 0 1 -0.5415 1.4307 FF R
608337 0 2 -0.2122 3.021 CU L
458681 0 0 -0.7875 2.8081 FC L
608337 0 1 0.2176 2.4398 CU L
571578 0 0 0.2138 2.0704 FT R
608337 0 0 -0.1062 1.7574 CH L
571578 0 1 -0.4872 1.9158 SL R
571578 0 0 0.2389 1.8062 FT R
608337 0 1 0.7219 3.2128 SL L
645261 2 2 -0.1577 2.1177 SL L
608337 0 0 0.6687 2.4763 FF L
571578 2 2 -0.8856 2.6809 FT L
571578 1 2 -1.362 0.7783 SL L
645261 2 1 -0.168 1.4461 SI L
645261 1 1 -0.8375 3.3445 SI L
571578 0 2 -2.0684 -0.761 SL L
645261 0 1 -0.0973 1.3946 CU L
571578 0 1 -1.2597 0.464 SL L
645261 0 0 -1.2252 2.5755 SI L
571578 0 0 -0.8394 1.8724 SL L
645261 1 1 -0.2895 2.5622 CH L
645261 0 1 -1.0716 3.0408 CU L
645261 0 0 -0.8008 2.288 CU L
645261 0 2 1.4519 1.0709 SL R
645261 0 1 0.7572 1.4582 SL R
645261 0 0 0.7503 1.5911 CU R
458681 3 1 -0.1975 2.059 FC L
458681 2 1 1.4062 2.1509 FF L
458681 1 1 1.4545 2.8477 FF L
458681 0 1 -1.168 2.1419 CU L
458681 0 0 0.5347 2.5701 FC L
608337 1 1 -0.2364 2.8301 FF R
608337 1 0 0.7467 2.7548 CH R
458681 1 2 0.4475 -0.3037 CU R
608337 0 0 0.5508 0.4981 SL R
458681 0 2 -0.6925 0.4035 FT R
458681 0 1 -0.914 2.2632 FT R
608337 1 2 -0.4064 1.2636 CU L
608337 1 1 -0.6356 2.4422 CH L
458681 0 0 0.7468 2.0376 FT R
608337 1 0 0.6753 1.5563 FF L
458681 0 1 -0.4969 2.1271 CU L
458681 0 0 0.3636 1.3698 FC L
608337 0 0 1.0508 1.3761 FF L
608337 0 0 -0.7629 2.0363 FF R
458681 3 1 -0.7268 2.0189 FT R
458681 3 0 -0.2948 2.5213 FF R
458681 2 0 -0.6966 1.6818 FT R
458681 1 0 -1.7023 2.6811 FT R
458681 0 0 -1.4683 3.2378 FT R
458681 2 1 -0.5952 2.7075 FF L
571578 1 1 0.3768 1.9204 FF R
571578 0 1 -1.3206 1.4813 SL R
458681 1 1 1.2055 2.0786 FC L
571578 0 0 -0.8509 1.6887 SL R
458681 0 1 1.4326 1.5646 FC L
645261 1 0 -0.1983 1.8243 CH L
645261 0 0 -1.1866 2.943 FF L
571578 0 0 -0.8151 2.3013 SL L
458681 0 0 -0.0536 1.9157 CU L
458681 1 0 -0.7771 2.4755 FT L
645261 2 2 0.147 2.1444 CU R
571578 0 1 0.5394 2.398 CH R
571578 0 0 -0.7502 2.8019 FF R
645261 1 2 0.3691 1.1196 CU R
458681 0 0 0.4515 0.6555 FT L
458681 1 1 -0.8582 2.1592 FT R
645261 1 1 0.3762 1.9053 SL R
571578 1 0 -0.2265 2.5185 FF L
571578 0 0 -0.7994 1.273 SL L
645261 0 1 -0.4072 3.8247 FF R
458681 1 0 -0.4288 3.6674 FC R
458681 0 0 2.1707 2.2661 FF R
645261 0 0 -0.0272 3.5451 FF R
571578 2 0 -0.8018 2.8387 FF L
571578 1 0 -1.2295 1.963 FF L
645261 1 2 -0.922 3.4561 FF R
571578 0 0 -0.7234 0.8292 FF L
645261 1 1 -0.8286 2.563 SI R
645261 0 1 0.8194 1.3502 SL R
645261 0 0 -0.4278 3.1972 SL R
608337 3 2 0.8691 3.5335 FF R
608337 2 2 -1.2363 1.7982 CH R
608337 1 2 -0.2038 4.3414 FF R
608337 1 1 -0.2811 3.3909 FF R
608337 1 0 0.3681 3.1206 SL R
608337 0 0 0.6917 3.5434 FF R
608337 3 2 0.0284 3.7362 FF L
608337 3 2 0.6633 3.4797 FF L
608337 2 2 0.6711 0.7897 CH L
645261 1 0 0.6776 2.7614 FF L
645261 0 0 0.2244 1.5198 CU L
608337 1 2 0.9039 0.9422 CH L
645261 0 1 0.202 2.3414 SL L
608337 1 2 0.3896 3.1758 FF L
645261 0 0 -0.8796 2.3874 CU L
608337 1 2 0.0248 2.2198 FF L
645261 0 2 -0.5212 3.2426 CU R
608337 1 1 0.2327 2.5182 FF L
645261 0 1 0.049 2.3794 FF R
571578 1 0 0.2065 1.0891 FT R
608337 0 1 0.497 4.4437 FF L
608337 0 0 -0.343 2.9723 FF L
645261 0 0 -0.43 4.3486 FF R
458681 0 0 0.4252 2.3589 FF L
571578 0 0 -1.0695 1.9171 FF R
645261 1 0 -0.8718 2.6397 SI L
571578 3 2 0.5222 1.4074 SL R
608337 2 2 -0.4124 0.9741 CH L
458681 1 2 -0.8847 1.8354 FF L
645261 0 0 -1.3281 3.2936 CU L
608337 1 2 -0.6861 2.2551 FF L
458681 1 1 -1.2925 2.7437 FT L
571578 2 2 -1.4637 0.0974 SL R
571578 1 2 -1.7968 2.4565 FT R
458681 0 1 -1.0925 2.905 FT L
608337 0 2 1.6931 2.29 FF L
608337 0 1 0.3256 1.8133 CU L
458681 0 0 -0.1604 2.54 CU L
571578 1 1 0.4634 1.7267 CH R
608337 0 0 -0.9008 1.7218 CH L
571578 1 0 0.0626 3.1892 FT R
458681 2 2 -0.2991 2.5719 FF L
571578 0 0 0.0037 0.7495 CU R
458681 1 2 -2.0801 2.3013 FF L
571578 2 1 0.0652 2.4416 SL R
458681 0 2 -0.8162 4.2054 FF L
458681 0 1 -0.2515 2.4841 FC L
571578 2 0 0.6789 2.2178 FT R
571578 1 0 -0.8373 3.4744 FF R
458681 0 0 -0.3975 1.9427 FT L
458681 3 2 0.9043 1.6298 FC R
571578 0 0 0.0087 1.2542 FT R
571578 1 1 0.7501 2.2561 FT L
458681 2 2 1.2678 1.7284 FC R
458681 2 1 0.4422 2.8059 FF R
571578 1 0 -0.2402 2.6803 FF L
645261 1 2 0.2325 1.2156 CU L
571578 0 0 -0.4985 1.4798 FT L
458681 1 1 0.7585 3.2107 FF R
645261 1 2 -0.9261 2.942 CU L
458681 1 0 -0.1923 2.5249 FF R
608337 0 2 0.0747 1.801 CU R
645261 1 1 -1.0852 2.1141 SI L
608337 0 1 -0.1673 2.3887 FF R
458681 0 0 1.0169 2.7824 FF R
645261 0 1 -1.0943 2.9458 CU L
608337 0 0 0.7678 2.4427 FF R
645261 0 0 -0.5629 1.9832 CU L
608337 1 2 -0.1846 0.8361 CH L
645261 0 0 0.5988 2.7265 FF R
608337 1 2 -1.3841 2.9606 CU L
608337 1 2 0.6584 2.8505 FF L
645261 2 2 0.6499 0.8681 SL L
645261 2 1 -0.0071 2.0342 SI L
608337 1 1 -0.0563 2.0365 CH L
608337 1 0 -0.5099 1.4495 CH L
645261 1 1 0.7317 0.8875 SI L
645261 1 0 0.3967 0.8746 CU L
608337 0 0 1.5077 1.8251 FF L
645261 0 0 -1.7043 2.9445 CU L
608337 1 2 0.2884 1.8567 FF L
645261 1 2 0.1796 1.2591 CU R
608337 1 1 -0.3355 1.5376 CH L
608337 0 1 0.3959 3.9121 FF L
645261 1 1 0.2013 2.4176 SL R
645261 0 1 -0.956 4.3031 SL R
608337 0 0 -0.2228 3.1338 FF L
608337 3 0 1.1621 2.8887 FF R
645261 0 0 0.6827 2.5849 SI R
608337 2 0 0.9577 0.1111 FF R
608337 1 0 1.6466 1.4478 FF R
608337 0 0 0.4749 3.5282 FF R
458681 1 2 -0.6995 2.6251 FF L
458681 1 1 0.4577 2.9377 FF L
458681 1 0 -1.2874 3.1765 FT L
458681 0 0 0.99 3.0375 FF L
571578 0 0 0.1596 2.4718 CU R
458681 1 2 0.6362 3.2992 FF R
571578 2 2 0.2795 1.7252 SL L
458681 1 2 0.1364 2.6794 FF R
571578 2 1 -0.1172 2.1085 FF L
458681 0 2 -0.0017 3.9689 FF R
571578 2 0 -0.383 2.7223 FF L
458681 0 1 -0.3107 2.6556 FF R
645261 1 0 0.2887 2.412 SL R
571578 1 0 -0.9917 1.5662 SL L
458681 0 0 0.2319 2.7084 FF R
458681 3 2 -0.6251 3.3133 FF L
571578 0 0 0.9498 5.0679 FF L
645261 0 0 1.0863 1.6177 FF R
645261 0 1 -0.5243 1.0045 SI L
571578 0 0 -0.2267 2.3507 FF R
458681 3 1 0.5876 2.0416 FF L
571578 1 2 -0.5996 2.1071 FF L
458681 2 1 0.9163 2.1231 FF L
645261 0 0 -0.4865 2.3134 SI L
645261 0 2 0.6003 1.8573 FF L
571578 1 1 0.1037 2.7465 SL L
458681 1 1 1.1391 2.4619 FF L
571578 1 0 0.1655 2.3624 FF L
458681 0 1 0.5317 1.4004 FF L
645261 0 1 -0.3015 2.786 SI L
645261 0 0 -0.649 1.9167 SI L
571578 0 0 -0.5393 1.0006 FF L
458681 0 0 -0.0144 1.6933 FF L
545333 2 2 0.7408 2.3695 SL R
545333 2 2 -0.1665 3.7113 FT R
545333 1 2 1.9855 1.5551 SL R
545333 1 1 0.7087 1.8554 SL R
545333 0 1 2.1482 0.569 FC R
545333 0 0 1.6349 1.4997 FC R
545333 3 2 0.204 2.3985 FF L
545333 3 1 -0.5773 2.7084 FF L
545333 3 0 0.6608 1.6652 FF L
545333 2 0 -0.6159 3.3387 FF L
545333 1 0 -0.9339 3.7941 FF L
545333 0 0 0.9638 -0.0832 CH L
545333 2 2 -1.0717 3.9749 FF R
545333 1 2 3.1902 0.4572 SL R
545333 0 2 1.1867 -0.7745 CH R
545333 0 1 0.3952 2.5396 SL R
545333 0 0 0.5974 2.4161 FC R
545333 3 2 -1.5484 4.2421 FF L
545333 3 1 0.2933 2.8686 FF L
545333 2 1 -1.3953 5.0727 FT L
545333 1 1 -0.888 3.7496 FT L
545333 0 1 0.3449 1.3918 CH L
545333 0 0 -0.3773 2.9137 CH L
593958 3 2 0.8005 2.6833 FC R
593958 3 1 -0.0844 1.3076 FC R
593958 2 1 2.3557 3.5918 FF R
593958 1 1 1.2313 2.3288 FC R
593958 0 1 1.2259 1.479 FC R
544931 2 2 -0.0151 1.7775 CU L
593958 0 0 0.2877 2.6595 FC R
593958 3 1 1.3189 2.6648 FC R
544931 2 2 -1.0984 1.8775 FF L
544931 1 2 -0.2147 0.9327 FF L
593958 2 1 1.1117 1.4431 FF R
544931 1 1 -0.4145 2.8454 CH L
593958 1 1 1.4353 3.2418 FF R
593958 0 1 1.3681 2.2766 FC R
544931 1 0 -0.3316 1.856 CH L
545333 3 2 -0.2536 1.6283 CH L
544931 0 0 -1.0979 3.7047 FT L
593958 0 0 0.529 1.9777 FC R
545333 3 2 0.0745 3.0464 FF L
544931 3 2 -0.2637 2.8604 FF R
593958 0 0 0.2874 1.8262 FF L
545333 2 2 -0.7598 4.3932 SL L
593958 1 1 0.9498 2.1076 CH R
544931 3 1 0.6777 2.314 FF R
593958 0 1 2.4571 2.6404 CH R
544931 2 1 -1.4393 2.8282 CH R
545333 2 2 -0.772 2.8817 CH L
544931 2 0 0.1004 1.527 FF R
545333 1 2 -0.3778 2.105 KC L
593958 0 0 1.0914 2.9292 FC R
544931 1 0 0.6101 1.2503 FF R
545333 1 1 0.0927 2.5489 CH L
593958 1 2 0.5404 1.7605 SL R
544931 0 0 -0.0577 1.4003 FF R
593958 1 1 0.8061 2.8545 FC R
545333 0 1 -1.065 2.6307 CH L
593958 0 1 -1.3004 0.8377 FC R
544931 0 0 0.2631 1.7943 FF R
545333 0 0 0.33 2.4475 FF L
545333 0 1 0.0302 2.4023 SL R
593958 0 0 0.848 2.8688 FF R
545333 0 0 -0.0647 1.5369 FF R
545333 2 2 0.2751 3.1096 FF R
545333 1 2 0.5291 0.7693 CH R
545333 1 1 0.6136 2.9664 SL R
545333 0 1 -0.616 3.8074 SL R
545333 0 0 0.4943 2.5701 FC R
544931 2 1 -0.159 1.8649 CU L
544931 1 1 1.2505 1.5095 SL L
545333 0 2 0.9301 2.3129 SL R
545333 0 1 -0.0496 3.9806 FF R
544931 0 1 -0.8166 1.05 CH L
544931 0 0 -0.7533 1.6993 CU L
545333 0 0 1.3596 1.6696 FC R
544931 0 0 -0.2625 1.7777 FT R
545333 1 2 -0.187 3.0343 KC L
544931 1 2 0.0072 2.572 FF L
593958 3 2 1.13 1.231 CH R
545333 1 1 -0.0425 3.0731 FC L
544931 0 2 -1.8427 4.0077 FT L
593958 2 2 0.8786 3.5683 FF R
545333 1 0 -1.051 2.3668 FF L
593958 1 2 -0.0438 3.3782 SL R
544931 0 1 -0.7461 0.8728 CH L
545333 0 0 0.3102 0.9557 CH L
593958 0 2 2.2299 2.5456 CH R
544931 0 0 0.5564 1.8538 CU L
545333 2 2 0.6416 2.2218 SL R
545333 1 2 2.5406 1.7926 SL R
593958 0 1 0.6729 1.2271 CH R
593958 0 0 0.855 1.9567 FC R
545333 1 1 -0.2601 3.4836 FC R
545333 1 0 -0.3171 2.4485 FF R
593958 1 1 0.3593 2.3644 FT L
545333 0 0 0.7242 1.0641 SL R
593958 1 0 -0.6345 2.5769 FF L
506433 2 2 0.7773 2.9338 FF L
506433 2 1 -0.0215 2.9168 SL L
593958 0 0 0.4241 3.705 FF L
593958 3 2 0.7581 1.9119 CH R
506433 1 1 -0.8472 3.7622 FF L
506433 0 1 0.2258 0.2127 CU L
593958 3 2 -0.3705 1.7923 FC R
506433 0 0 0.2586 3.3303 CU L
593958 3 2 0.4623 2.0496 FC R
506433 1 0 -0.198 3.309 FF L
593958 2 2 1.0958 0.7782 CH R
593958 1 2 0.109 3.7543 FT R
544931 2 0 -0.6128 1.9743 CH L
506433 0 0 -1.0023 2.5661 FC L
544931 1 0 1.2038 1.8305 FF L
593958 1 2 -1.0326 1.6057 FC R
506433 0 1 -0.9064 2.4083 CU L
506433 0 0 0.1711 2.4102 FF L
593958 1 2 -0.8262 3.2465 FC R
544931 0 0 -0.7272 1.4041 FT L
544931 1 2 0.3968 0.3641 CH R
593958 1 1 0.6165 2.3294 FF R
506433 3 2 0.7726 2.2182 FF L
593958 1 0 0.7134 2.3469 FF R
544931 1 1 -0.8282 1.8807 FT R
506433 2 2 0.2101 -0.8284 FS L
544931 0 1 -1.284 3.3291 FT R
593958 0 0 1.3366 2.4366 FF R
506433 2 1 -0.54 2.5165 FF L
506433 2 0 0.3497 2.565 FF L
544931 0 0 -0.7817 2.3738 FT R
593958 3 0 1.6547 3.2226 FF R
593958 2 0 1.1848 2.2441 FC R
545333 2 1 -0.4241 2.9074 CH L
544931 3 2 0.5736 0.8958 CH L
506433 1 0 1.5303 0.6816 CU L
593958 1 0 1.8382 2.4504 CH R
506433 0 0 0.521 1.0842 CU L
545333 1 1 0.5732 -0.8371 CH L
544931 2 2 1.2303 3.3798 FF L
593958 0 0 1.6385 3.4868 FF R
545333 1 0 -0.0782 3.2823 FF L
544931 2 1 0.2088 1.5271 FF L
593958 1 1 0.6193 2.8037 FF R
545333 0 0 -0.737 4.3072 FF L
544931 2 0 0.1903 3.0036 CU L
593958 0 1 -0.5443 1.4844 FF R
545333 2 2 0.031 2.3084 SL R
544931 1 0 -1.3698 2.9437 FF L
545333 1 2 1.3424 0.6721 SL R
544931 0 0 -1.9462 3.3463 FF L
593958 0 0 0.5237 3.2821 FF R
545333 1 1 -0.9188 4.4137 FF R
544931 0 0 0.0306 1.8014 FF L
545333 1 0 -0.1665 3.0674 FF R
545333 0 0 -0.8885 4.0504 FF R
545333 1 2 -0.5301 2.2487 SL L
545333 1 1 -0.5462 1.6825 CH L
545333 0 1 -0.9936 3.3649 FF L
545333 0 0 0.0552 2.2051 CH L
545333 0 1 -0.081 2.4009 FF L
545333 0 0 -0.0771 2.3989 CH L
593958 3 2 0.1758 2.7958 FF R
593958 2 2 1.3073 2.225 FC R
593958 1 2 -0.8359 3.8691 FF R
593958 1 2 -0.7632 1.7936 SL R
593958 1 1 -0.207 1.7246 FF R
593958 1 0 0.4762 2.4077 FF R
506433 1 0 -0.406 2.4703 FF R
506433 0 0 -0.7237 3.3383 FF R
593958 0 0 0.9389 1.4755 FC R
593958 0 1 0.0241 2.2165 FF L
506433 0 0 -0.0355 0.9816 FC L
506433 0 2 -0.1235 3.1976 FC L
593958 0 0 -0.1391 2.2946 FF L
593958 1 2 0.8699 1.7871 CH R
506433 0 1 0.6218 2.4166 FF L
506433 0 0 0.9036 2.0169 FC L
593958 0 2 1.0088 3.1898 FT R
544931 0 0 0.29 2.4564 CU R
506433 3 2 -0.9065 2.8045 FF R
593958 0 1 1.0407 2.7576 CH R
544931 0 1 0.235 2.215 SL R
506433 2 2 0.5896 0.043 FF R
544931 0 0 0.6945 1.1025 SL R
593958 0 0 0.0311 2.3609 FF R
593958 1 0 0.4591 2.702 FF R
506433 1 2 -1.0791 3.1162 SL R
544931 0 1 -0.5191 1.4287 FT L
