"Year" "Tms" "#P" "PAge" "R/G" "ERA" "G" "GF" "CG" "SHO" "tSho" "SV" "IP" "H" "R" "ER" "HR" "BB" "IBB" "SO" "HBP" "BK" "WP" "BF" "ERA+" "WHIP" "BAbip" "H9" "HR9" "BB9" "SO9" "SO/W" "E"
"142" 1880 8 32 22.7 4.69 2.37 680 0.11 0.89 0.07 0.08 0.02 8.87 8.74 4.69 2.34 0.09 1.09 NA 2.92 NA 0 0.43 36.83 NA 1.108 NA 8.9 0.1 1.1 3 2.69 4.34
"143" 1879 8 25 23 5.31 2.5 642 0.05 0.95 0.07 0.07 0 9.03 9.61 5.31 2.5 0.09 0.79 NA 2.87 NA 0 0.57 38.42 NA 1.152 NA 9.6 0.1 0.8 2.9 3.63 4.87
"144" 1878 6 21 22.2 5.17 2.3 368 0.04 0.96 0.07 0.07 0 9.03 9.61 5.17 2.31 0.06 0.99 NA 2.94 NA 0 0.64 38.09 NA 1.174 NA 9.6 0.1 1 2.9 2.97 4.83
"145" 1877 6 19 24.2 5.67 2.81 360 0.09 0.91 0.06 0.06 0.01 9 10.29 5.67 2.81 0.07 0.96 NA 2.02 NA 0 0.56 38.91 NA 1.25 NA 10.3 0.1 1 2 2.1 5.16
"146" 1876 8 34 24.4 5.9 2.31 520 0.09 0.91 0.09 0.09 0.03 9.11 10.27 5.9 2.34 0.08 0.65 NA 1.13 NA 0 0.36 39.49 NA 1.197 NA 10.1 0.1 0.6 1.1 1.75 6.01
"147" 1875 13 42 24.3 6.14 2.23 690 0.1 0.9 0.07 0.07 0.03 8.97 9.87 6.14 2.22 0.06 0.36 NA 0.98 NA 0.01 0.48 39.25 NA 1.141 NA 9.9 0.1 0.4 1 2.71 6.96
"148" 1874 8 17 24.7 7.48 2.19 464 0.05 0.95 0.03 0.03 0.01 8.99 11.26 7.48 2.19 0.09 0.51 NA 0.77 NA 0 0.27 41.69 NA 1.31 NA 11.3 0.1 0.5 0.8 1.5 8.14
"149" 1873 9 25 21.3 8.99 3.4 398 0.09 0.91 0.02 0.02 0.02 9.01 12.38 8.99 3.4 0.12 0.84 NA 0.7 NA 0 0.31 43.45 NA 1.468 NA 12.4 0.1 0.8 0.7 0.83 8.02
"150" 1872 11 21 21.1 9.26 3.65 366 0.11 0.89 0.03 0.03 0.02 8.98 12.2 9.26 3.64 0.1 0.72 NA 0.72 NA 0.01 0.55 43.52 NA 1.439 NA 12.2 0.1 0.7 0.7 1.01 7.5
"151" 1871 9 19 24.3 10.47 4.22 254 0.09 0.91 0.02 0.02 0.02 8.86 12.21 10.47 4.15 0.19 1.55 NA 0.69 NA 0.01 0.82 44.15 NA 1.553 NA 12.4 0.2 1.6 0.7 0.45 7.61
