Num HR HRyr HRgm Date BatTeam HomeAway DefTeam Pitcher Score Inn Out RoB RBI BOP Pos WPA bWE "Play Description" Player Birthdate Age
1 1 1 1 1954-04-23 MLN @ STL "Vic Raschi" "behind 2-4" "t 6" 1 --- 1 6 9 0.114 30% "Home Run" Aaron 02-05-1934 20.210814510609172
2 2 2 1 1954-04-25 MLN @ STL "Stu Miller" "behind 0-1" "t 5" 0 --- 1 6 9 0.139 50% "Home Run" Aaron 02-05-1934 20.21629021218343
3 3 3 1 1954-05-21 MLN @ CHC "Hal Jeffcoat" "tied 4-4" "t 8" 1 1-- 2 7 7 0.348 85% "Home Run (Deep LF); Logan Scores" Aaron 02-05-1934 20.28747433264887
4 4 4 1 1954-05-22 MLN @ CHC "Warren Hacker" "behind 3-8" "t 7" 0 1-- 2 7 7 0.058 11% "Home Run (Deep LF); Logan Scores" Aaron 02-05-1934 20.290212183436
5 5 5 1 1954-05-25 MLN @ CIN "Herm Wehmeier" "behind 0-1" "t 5" 1 -2- 2 7 7 0.225 61% "Home Run; Adcock Scores" Aaron 02-05-1934 20.2984257357974
6 6 6 1 1954-06-15 MLN @ BRO "Russ Meyer" "tied 0-0" "t 1" 1 1-- 2 3 7 0.163 67% "Home Run (Deep CF); Logan Scores" Aaron 02-05-1934 20.355920602327178
7 7 7 1 1954-06-17 MLN @ BRO "Johnny Podres" "tied 0-0" "t 1" 2 --- 1 3 7 0.098 56% "Home Run (Line Drive to Deep LF)" Aaron 02-05-1934 20.361396303901437
8 8 8 1 1954-06-22 MLN @ NYG "Johnny Antonelli" "behind 0-1" "t 4" 2 --- 1 3 7 0.125 45% "Home Run (Deep RF)" Aaron 02-05-1934 20.3750855578371
9 9 9 1 1954-06-26 MLN @ PHI "Robin Roberts" "behind 0-5" "t 4" 0 --- 1 3 7 0.044 12% "Home Run (LF-CF)" Aaron 02-05-1934 20.386036960985628
10 10 10 1 1954-07-02 MLN NA CIN "Corky Valentine" "behind 2-3" "b 7" 2 1-- 2 3 7 0.467 76% "Home Run; Logan Scores" Aaron 02-05-1934 20.40246406570842
11 11 11 1 1954-07-08 MLN @ CHC "Warren Hacker" "tied 3-3" "t 3" 0 1-- 2 3 7 0.172 71% "Home Run (Deep LF); Logan Scores" Aaron 02-05-1934 20.418891170431213
12 12 12 1 1954-07-29 MLN @ PIT "Johnny Hetki" "tied 3-3" "t 10" 0 --- 1 4 7 0.338 84% "Home Run (Deep LF)" Aaron 02-05-1934 20.476386036960985
13 13 13 1 1954-08-10 MLN @ STL "Vic Raschi" "tied 0-0" "t 1" 2 -2- 2 4 7 0.174 66% "Home Run; Bruton Scores" Aaron 02-05-1934 20.50924024640657
14 14 1 1 1955-04-17 MLN @ CIN "Gerry Staley" "behind 4-5" "t 7" 1 --- 1 2 9 0.192 46% "Home Run (Deep CF)" Aaron 02-05-1934 21.193702943189596
15 15 2 1 1955-04-27 MLN @ NYG "Hoyt Wilhelm" "ahead 8-1" "t 8" 1 --- 1 2 9 0.002 100% "Home Run (Deep LF)" Aaron 02-05-1934 21.22108145106092
16 16 3 1 1955-04-30 MLN @ PHI "Thornton Kipper" "ahead 3-2" "t 9" 1 --- 1 2 9 0.097 92% "Home Run (Deep LF)" Aaron 02-05-1934 21.229295003422312
17 17 4 1 1955-05-07 MLN @ STL "Herb Moford" "ahead 7-1" "t 7" 1 --- 1 4 7 0.009 99% "Home Run" Aaron 02-05-1934 21.248459958932237
18 18 5 1 1955-05-08 MLN @ STL "Harvey Haddix" "tied 0-0" "t 2" 0 --- 1 4 7 0.105 60% "Home Run (Fly Ball to Deep LF)" Aaron 02-05-1934 21.251197809719372
19 19 6 1 1955-05-10 MLN NA PIT "Max Surkont" "behind 2-9" "b 8" 0 12- 3 4 7 NA NA NA Aaron 02-05-1934 21.25667351129363
20 20 7 1 1955-05-12 MLN NA BRO "Carl Erskine" "tied 0-0" "b 2" 0 --- 1 4 7 0.108 66% "Home Run (Fly Ball to Deep CF)" Aaron 02-05-1934 21.2621492128679
21 21 8 1 1955-05-19 MLN NA NYG "Jim Hearn" "tied 0-0" "b 2" 0 --- 1 4 9 0.108 66% "Home Run (Deep RF)" Aaron 02-05-1934 21.281314168377826
22 22 9 1 1955-05-28 MLN @ CHC "Warren Hacker" "behind 1-2" "t 6" 1 --- 1 4 9 0.164 47% "Home Run" Aaron 02-05-1934 21.305954825462013
23 23 10 1 1955-06-07 MLN @ NYG "Johnny Antonelli" "ahead 4-0" "t 2" 2 -2- 2 4 9 0.083 92% "Home Run; Mathews Scores" Aaron 02-05-1934 21.333333333333332
24 24 11 1 1955-06-17 MLN NA NYG "Johnny Antonelli" "tied 0-0" "b 4" 1 --- 1 4 7 0.136 67% "Home Run (Deep LF)" Aaron 02-05-1934 21.360711841204655
25 25 12 1 1955-06-24 MLN NA BRO "Carl Erskine" "ahead 4-1" "b 3" 0 12- 3 4 9 0.074 96% "Home Run (Line Drive to LF-CF); Logan Scores; Mathews Scores" Aaron 02-05-1934 21.37987679671458
26 26 13 1 1955-06-28 MLN NA CHC "Sam Jones" "behind 2-7" "b 8" 1 --- 1 4 9 0.014 3% "Home Run" Aaron 02-05-1934 21.39082819986311
27 27 14 1 1955-06-29 MLN NA CHC "John Andre" "ahead 5-1" "b 4" 2 --3 2 4 9 0.052 97% "Home Run (Deep LF); Bruton Scores" Aaron 02-05-1934 21.39356605065024
28 28 15 2 1955-06-29 MLN NA CHC "John Andre" "ahead 9-1" "b 6" 0 --- 1 4 9 0.002 100% "Home Run (Deep LF)" Aaron 02-05-1934 21.39356605065024
29 29 16 1 1955-07-02 MLN @ CIN "Jackie Collum" "behind 3-10" "t 8" 1 1-- 2 4 9 0.007 1% "Home Run (Deep CF); Logan Scores" Aaron 02-05-1934 21.401779603011637
30 30 17 1 1955-07-08 MLN NA CIN "Rudy Minarcin" "behind 0-1" "b 1" 2 1-- 2 4 4 0.2 62% "Home Run (Deep CF); Mathews Scores" Aaron 02-05-1934 21.418206707734427
31 31 18 1 1955-07-14 MLN @ PHI "Bob Miller" "ahead 4-0" "t 6" 0 --- 1 4 4 0.034 96% "Home Run" Aaron 02-05-1934 21.43463381245722
32 32 19 1 1955-07-16 MLN @ NYG "Sal Maglie" "behind 2-5" "t 8" 0 1-- 2 4 4 0.142 26% "Home Run; Mathews Scores" Aaron 02-05-1934 21.440109514031484
33 33 20 1 1955-07-21 MLN @ PIT "Lino Donoso" "tied 0-0" "t 2" 0 --- 1 4 4 0.106 61% "Home Run (Deep RF)" Aaron 02-05-1934 21.453798767967147
34 34 21 1 1955-07-22 MLN @ BRO "Roger Craig" "behind 2-3" "t 6" 1 --- 1 4 4 0.16 47% "Home Run (Fly Ball to Deep LF)" Aaron 02-05-1934 21.45653661875428
35 35 22 1 1955-07-24 MLN @ BRO "Ed Roebuck" "ahead 5-2" "t 8" 2 1-- 2 4 7 0.061 98% "Home Run (Fly Ball to LF-CF); Logan Scores" Aaron 02-05-1934 21.462012320328544
36 36 23 1 1955-08-07 MLN NA PIT "Lino Donoso" "ahead 4-3" "b 8" 1 1-- 2 4 4 0.1 97% "Home Run; Mathews Scores" Aaron 02-05-1934 21.50034223134839
37 37 24 1 1955-08-09 MLN NA STL "Larry Jackson" "ahead 1-0" "b 4" 0 --- 1 4 4 NA NA NA Aaron 02-05-1934 21.505817932922657
38 38 25 1 1955-08-19 MLN NA CHC "Warren Hacker" "ahead 2-0" "b 3" 1 1-- 2 4 9 0.121 89% "Home Run (Deep LF); Mathews Scores" Aaron 02-05-1934 21.533196440793976
39 39 26 1 1955-09-04 MLN NA CIN "Johnny Klippstein" "tied 0-0" "b 1" 2 1-- 2 4 9 0.189 71% "Home Run; O'Connell Scores" Aaron 02-05-1934 21.57700205338809
40 40 27 2 1955-09-04 MLN NA CIN "Joe Black" "ahead 4-1" "b 6" 0 --- 1 4 9 0.038 95% "Home Run" Aaron 02-05-1934 21.57700205338809
41 41 1 1 1956-04-17 MLN NA CHC "Bob Rush" "ahead 1-0" "b 6" 2 --- 1 4 9 0.121 84% "Home Run (Deep LF)" Aaron 02-05-1934 22.195756331279945
42 42 2 1 1956-04-22 MLN @ STL "Larry Jackson" "ahead 4-0" "t 3" 0 --- 1 4 9 0.045 92% "Home Run (Deep LF)" Aaron 02-05-1934 22.209445585215605
43 43 3 1 1956-05-07 MLN NA BRO "Ed Roebuck" "ahead 2-0" "b 5" 1 --- 1 4 9 0.076 89% "Home Run (Deep CF)" Aaron 02-05-1934 22.250513347022583
44 44 4 1 1956-05-22 MLN @ BRO "Carl Erskine" "tied 0-0" "t 2" 0 --- 1 4 9 0.103 60% "Home Run (Line Drive to Deep LF)" Aaron 02-05-1934 22.29158110882957
45 45 5 1 1956-05-30 MLN @ CHC "Russ Meyer" "ahead 1-0" "t 1" 2 --- 1 4 9 0.099 67% "Home Run (Deep RF)" Aaron 02-05-1934 22.313483915126625
46 46 6 1 1956-05-30 MLN @ CHC "Warren Hacker" "tied 1-1" "t 4" 0 --- 1 4 9 0.131 63% "Home Run" Aaron 02-05-1934 22.313483915126625
47 47 7 1 1956-06-06 MLN NA BRO "Don Newcombe" "behind 0-1" "b 1" 2 1-- 2 4 9 0.212 62% "Home Run (Line Drive to LF-CF); Mathews Scores/unER; Aaron Scores/unER" Aaron 02-05-1934 22.33264887063655
48 48 8 1 1956-06-27 MLN @ PHI "Harvey Haddix" "behind 1-2" "t 7" 0 --- 1 4 9 0.204 50% "Home Run" Aaron 02-05-1934 22.390143737166323
49 49 9 1 1956-07-04 MLN NA STL "Herm Wehmeier" "ahead 3-0" "b 8" 2 12- 3 4 9 0.022 100% "Home Run (Deep RF); Logan Scores; Mathews Scores" Aaron 02-05-1934 22.409308692676248
50 50 10 1 1956-07-06 MLN NA CHC "Don Kaiser" "ahead 4-0" "b 7" 2 --- 1 4 9 NA NA NA Aaron 02-05-1934 22.41478439425051
51 51 11 1 1956-07-16 MLN NA PIT "Ron Kline" "tied 1-1" "b 4" 0 --- 1 4 9 0.138 70% "Home Run (Deep CF)" Aaron 02-05-1934 22.442162902121833
52 52 12 1 1956-07-17 MLN NA NYG "Windy McCall" "behind 3-5" "b 7" 1 12- 3 4 9 NA NA NA Aaron 02-05-1934 22.444900752908968
53 53 13 1 1956-07-20 MLN NA PHI "Stu Miller" "tied 0-0" "b 1" 2 -2- 2 4 9 0.189 72% "Home Run (Deep RF); Mathews Scores" Aaron 02-05-1934 22.45311430527036
54 54 14 1 1956-07-22 MLN NA PHI "Ben Flowers" "ahead 7-5" "b 8" 0 --- 1 4 9 0.031 98% "Home Run (Deep RF)" Aaron 02-05-1934 22.458590006844627
55 55 15 1 1956-07-26 MLN @ NYG "Johnny Antonelli" "ahead 1-0" "t 1" 1 -2- 2 4 9 0.144 76% "Home Run (Deep LF); Mathews Scores" Aaron 02-05-1934 22.469541409993155
56 56 16 1 1956-07-30 MLN @ BRO "Ed Roebuck" "ahead 5-1" "t 7" 1 -2- 2 4 9 0.037 98% "Home Run (Deep RF); Bruton Scores" Aaron 02-05-1934 22.480492813141684
57 57 17 1 1956-08-05 MLN @ PIT "Ron Kline" "tied 0-0" "t 3" 1 12- 3 3 9 NA NA NA Aaron 02-05-1934 22.49691991786448
58 58 18 1 1956-08-19 MLN @ CIN "Tom Acker" "tied 1-1" "t 8" 1 1-- 2 3 9 0.351 85% "Home Run (Deep LF); Logan Scores" Aaron 02-05-1934 22.535249828884325
59 59 19 1 1956-08-23 MLN NA PHI "Curt Simmons" "tied 4-4" "b 5" 0 --- 1 3 9 0.155 72% "Home Run (Deep CF)" Aaron 02-05-1934 22.546201232032853
60 60 20 1 1956-08-26 MLN NA BRO "Roger Craig" "ahead 1-0" "b 3" 2 1-- 2 3 9 0.183 84% "Home Run (Line Drive to Deep LF); O'Connell Scores" Aaron 02-05-1934 22.55441478439425
61 61 21 1 1956-09-01 MLN NA STL "Vinegar Bend Mizell" "tied 0-0" "b 4" 1 --- 1 3 9 0.144 68% "Home Run (Deep RF)" Aaron 02-05-1934 22.570841889117045
62 62 22 1 1956-09-03 MLN NA CIN "Johnny Klippstein" "behind 0-2" "b 4" 2 --- 1 3 9 0.121 36% "Home Run" Aaron 02-05-1934 22.576317590691307
63 63 23 2 1956-09-03 MLN NA CIN "Johnny Klippstein" "behind 1-2" "b 7" 0 --- 1 3 9 0.243 58% "Home Run" Aaron 02-05-1934 22.576317590691307
64 64 24 1 1956-09-03 MLN NA CIN "Brooks Lawrence" "behind 4-7" "b 8" 1 --- 1 3 9 0.056 11% "Home Run" Aaron 02-05-1934 22.576317590691307
65 65 25 1 1956-09-13 MLN @ PHI "Robin Roberts" "tied 2-2" "t 11" 0 --- 1 3 9 0.346 85% "Home Run (LF-CF)" Aaron 02-05-1934 22.60369609856263
66 66 26 1 1956-09-15 MLN @ PHI "Bob Miller" "behind 2-5" "t 7" 2 1-3 3 3 9 0.337 43% "Home Run (Deep LF); Crandall Scores/unER; Logan Scores/unER; Aaron Scores/unER" Aaron 02-05-1934 22.60917180013689
67 67 1 1 1957-04-18 MLN NA CIN "Hal Jeffcoat" "tied 0-0" "b 6" 1 --- 1 2 9 0.193 73% "Home Run (Deep CF-RF)" Aaron 02-05-1934 23.197809719370294
68 68 2 1 1957-04-22 MLN NA CHC "Bob Rush" "ahead 3-1" "b 2" 2 --- 1 2 9 0.083 82% "Home Run (Deep LF-CF)" Aaron 02-05-1934 23.208761122518823
69 69 3 1 1957-04-24 MLN NA STL "Herm Wehmeier" "behind 1-4" "b 3" 1 12- 3 2 9 0.272 53% "Home Run (Deep LF); Crandall Scores/unER; O'Connell Scores" Aaron 02-05-1934 23.21423682409309
70 70 4 1 1957-04-27 MLN @ CIN "Warren Hacker" "tied 0-0" "t 1" 1 --- 1 2 9 0.099 58% "Home Run (Deep LF)" Aaron 02-05-1934 23.22245037645448
71 71 5 1 1957-05-03 MLN @ PIT "Bob Friend" "ahead 4-1" "t 6" 2 1-3 3 2 9 0.099 97% "Home Run (Deep RF); Crandall Scores/unER; O'Connell Scores/unER; Aaron Scores/unER" Aaron 02-05-1934 23.238877481177276
72 72 6 1 1957-05-05 MLN @ BRO "Don Bessent" "behind 3-7" "t 4" 2 12- 3 2 9 0.208 33% "Home Run (Line Drive to Deep RF); Bruton Scores; O'Connell Scores" Aaron 02-05-1934 23.24435318275154
73 73 7 1 1957-05-11 MLN @ STL "Willard Schmidt" "tied 5-5" "t 7" 1 --- 1 2 9 0.212 67% "Home Run (Deep RF)" Aaron 02-05-1934 23.260780287474333
74 74 8 1 1957-05-12 MLN @ STL "Murry Dickson" "behind 0-2" "t 4" 0 -2- 2 2 9 0.165 50% "Home Run (Deep LF-CF); O'Connell Scores" Aaron 02-05-1934 23.263518138261464
75 75 9 1 1957-05-12 MLN @ STL "Herm Wehmeier" "tied 0-0" "t 3" 2 1-- 2 2 9 0.217 69% "Home Run (Deep LF-CF); O'Connell Scores/unER; Aaron Scores/unER" Aaron 02-05-1934 23.263518138261464
76 76 10 1 1957-05-18 MLN NA PIT "Vern Law" "ahead 2-1" "b 3" 0 --- 1 2 9 0.102 78% "Home Run (Deep CF)" Aaron 02-05-1934 23.279945242984255
77 77 11 2 1957-05-18 MLN NA PIT "Bob Smith" "behind 3-4" "b 4" 2 12- 3 2 9 0.37 78% "Home Run (Deep RF); Bruton Scores; O'Connell Scores" Aaron 02-05-1934 23.279945242984255
78 78 12 1 1957-05-27 MLN NA CIN "Johnny Klippstein" "behind 1-5" "b 8" 1 1-- 2 2 9 0.069 11% "Home Run (Deep LF); O'Connell Scores" Aaron 02-05-1934 23.30458590006845
79 79 13 1 1957-06-04 MLN @ NYG "Stu Miller" "behind 1-2" "t 3" 1 1-- 2 2 9 0.209 60% "Home Run (Deep LF); Malkmus Scores" Aaron 02-05-1934 23.326488706365502
80 80 14 1 1957-06-09 MLN @ PIT "Bob Friend" "behind 0-1" "t 7" 0 --- 1 4 9 0.204 50% "Home Run (Deep LF)" Aaron 02-05-1934 23.34017796030116
81 81 15 1 1957-06-09 MLN @ PIT "Ron Kline" "behind 0-2" "t 7" 1 --- 1 4 9 0.114 25% "Home Run (Deep RF)" Aaron 02-05-1934 23.34017796030116
82 82 16 1 1957-06-12 MLN @ BRO "Ed Roebuck" "behind 8-11" "t 9" 0 --- 1 4 9 0.042 8% "Home Run (Deep RF)" Aaron 02-05-1934 23.34839151266256
83 83 17 1 1957-06-14 MLN @ PHI "Don Cardwell" "behind 0-1" "t 6" 2 12- 3 4 9 0.444 77% "Home Run (Deep RF); Logan Scores; Mathews Scores" Aaron 02-05-1934 23.353867214236825
84 84 18 1 1957-06-15 MLN @ PHI "Harvey Haddix" "tied 0-0" "t 2" 0 --- 1 4 9 0.11 61% "Home Run (Deep LF)" Aaron 02-05-1934 23.356605065023956
85 85 19 1 1957-06-19 MLN NA NYG "Ruben Gomez" "ahead 1-0" "b 3" 2 --- 1 4 9 0.11 75% "Home Run (Deep LF-CF)" Aaron 02-05-1934 23.367556468172484
86 86 20 1 1957-06-26 MLN NA BRO "Don Newcombe" "behind 4-9" "b 5" 1 --- 1 2 9 0.037 9% "Home Run (LF-CF)" Aaron 02-05-1934 23.38672142368241
87 87 21 1 1957-06-29 MLN NA PIT "Johnny OBrien" "tied 6-6" "b 6" 2 1-3 3 2 9 0.337 91% "Home Run (Deep LF-CF); Crandall Scores; Bruton Scores" Aaron 02-05-1934 23.394934976043807
88 88 22 1 1957-06-30 MLN NA PIT "Vern Law" "tied 0-0" "b 1" 1 --- 1 2 9 0.11 63% "Home Run (Deep CF)" Aaron 02-05-1934 23.397672826830934
89 89 23 1 1957-06-30 MLN NA PIT "Joe Trimble" "tied 0-0" "b 4" 0 --- 1 2 9 0.137 69% "Home Run (Deep LF)" Aaron 02-05-1934 23.397672826830934
90 90 24 1 1957-07-01 MLN @ STL "Murry Dickson" "behind 1-5" "t 5" 2 --- 1 2 9 0.049 12% "Home Run (Deep LF)" Aaron 02-05-1934 23.40041067761807
91 91 25 1 1957-07-03 MLN @ CIN "Hal Jeffcoat" "tied 0-0" "t 1" 2 -2- 2 4 9 0.173 66% "Home Run (Deep CF); Mathews Scores" Aaron 02-05-1934 23.405886379192335
92 92 26 1 1957-07-04 MLN @ CIN "Don Gross" "tied 4-4" "t 7" 2 1-- 2 4 9 0.335 79% "Home Run (Deep LF); Mathews Scores" Aaron 02-05-1934 23.408624229979463
93 93 27 1 1957-07-05 MLN NA CHC "Don Elston" "behind 3-7" "b 9" 0 --- 1 4 9 0.02 3% "Home Run (Deep LF)" Aaron 02-05-1934 23.411362080766597
94 94 28 1 1957-07-12 MLN @ PIT "Vern Law" "tied 0-0" "t 6" 0 --- 1 4 8 0.17 67% "Home Run (Deep LF)" Aaron 02-05-1934 23.430527036276523
95 95 29 1 1957-07-16 MLN @ PHI "Harvey Haddix" "tied 0-0" "t 1" 2 1-- 2 4 8 0.194 67% "Home Run (Deep LF); Mathews Scores" Aaron 02-05-1934 23.44147843942505
96 96 30 1 1957-07-25 MLN NA PHI "Robin Roberts" "behind 0-1" "b 4" 2 --- 1 4 8 0.151 51% "Home Run (Deep LF)" Aaron 02-05-1934 23.46611909650924
97 97 31 1 1957-08-04 MLN NA BRO "Carl Erskine" "ahead 6-2" "b 6" 2 12- 3 4 8 0.036 99% "Home Run (Fly Ball to LF-CF); Torre Scores; Mathews Scores" Aaron 02-05-1934 23.49349760438056
98 98 32 1 1957-08-09 MLN @ STL "Lindy McDaniel" "ahead 3-1" "t 3" 1 --3 2 4 8 0.098 86% "Home Run (Deep LF); Mathews Scores" Aaron 02-05-1934 23.50718685831622
99 99 33 1 1957-08-15 MLN @ CIN "Hal Jeffcoat" "tied 0-0" "t 1" 1 12- 3 4 8 0.213 75% "Home Run (Deep CF); Torre Scores; Mathews Scores" Aaron 02-05-1934 23.523613963039015
100 100 34 2 1957-08-15 MLN @ CIN "Don Gross" "ahead 5-1" "t 7" 2 1-- 2 4 8 0.046 98% "Home Run (Deep LF); Torre Scores" Aaron 02-05-1934 23.523613963039015
101 101 35 1 1957-08-22 MLN @ BRO "Sal Maglie" "tied 0-0" "t 1" 1 12- 3 4 8 0.21 75% "Home Run (Deep LF); Torre Scores; Mathews Scores" Aaron 02-05-1934 23.54277891854894
102 102 36 1 1957-08-23 MLN @ BRO "Sandy Koufax" "tied 0-0" "t 4" 2 --- 1 4 8 0.128 58% "Home Run (Fly Ball to Deep RF)" Aaron 02-05-1934 23.54551676933607
103 103 37 1 1957-08-24 MLN @ BRO "Johnny Podres" "ahead 1-0" "t 4" 1 --- 1 4 8 0.11 71% "Home Run (Line Drive to LF-CF)" Aaron 02-05-1934 23.548254620123203
104 104 38 1 1957-08-31 MLN @ CIN "Joe Nuxhall" "tied 0-0" "t 1" 2 1-- 2 4 8 0.183 66% "Home Run (Deep RF); Schoendienst Scores" Aaron 02-05-1934 23.567419575633128
105 105 39 1 1957-09-03 MLN @ CHC "Dick Littlefield" "ahead 5-0" "t 8" 1 1-3 3 4 8 0.009 100% "Home Run (Deep LF-CF); Jones Scores; Mathews Scores" Aaron 02-05-1934 23.575633127994525
106 106 40 1 1957-09-10 MLN NA PIT "Whammy Douglas" "behind 1-2" "b 4" 0 --- 1 2 8 0.145 56% "Home Run (Deep RF)" Aaron 02-05-1934 23.59479808350445
107 107 41 1 1957-09-17 MLN NA NYG "Curt Barclay" "ahead 2-1" "b 8" 2 --- 1 5 8 0.081 94% "Home Run (Deep RF Line)" Aaron 02-05-1934 23.613963039014372
108 108 42 1 1957-09-22 MLN @ CHC "Dick Drott" "behind 0-4" "t 4" 1 --- 1 4 8 0.057 15% "Home Run (Deep RF)" Aaron 02-05-1934 23.627652292950035
109 109 43 1 1957-09-23 MLN NA STL "Billy Muffett" "tied 2-2" "b 11" 2 1-- 2 4 8 0.441 100% "Home Run (Deep CF); Logan Scores" Aaron 02-05-1934 23.630390143737166
110 110 44 1 1957-09-24 MLN NA STL "Sam Jones" "tied 0-0" "b 1" 0 123 4 4 8 0.167 88% "Home Run (Deep RF); Mantilla Scores; Logan Scores; Mathews Scores" Aaron 02-05-1934 23.633127994524298
111 111 1 1 1958-04-20 MLN @ PHI "Robin Roberts" "behind 0-2" "t 7" 1 --- 1 4 8 0.114 26% "Home Run (Deep LF)" Aaron 02-05-1934 24.202600958247775
112 112 2 1 1958-04-22 MLN @ PIT "Ron Kline" "tied 0-0" "t 4" 0 12- 3 4 8 0.213 82% "Home Run (Deep LF); Hazle Scores; Mathews Scores" Aaron 02-05-1934 24.20807665982204
113 113 3 1 1958-04-24 MLN @ CIN "Brooks Lawrence" "ahead 2-0" "t 3" 0 --- 1 4 8 0.082 79% "Home Run (Deep LF)" Aaron 02-05-1934 24.213552361396303
114 114 4 2 1958-04-24 MLN @ CIN "Charlie Rabe" "ahead 3-0" "t 5" 0 --- 1 4 8 0.06 90% "Home Run (Deep CF)" Aaron 02-05-1934 24.213552361396303
115 115 5 1 1958-05-13 MLN @ PHI "Robin Roberts" "behind 0-4" "t 4" 2 --- 1 4 8 0.053 14% "Home Run (Deep LF)" Aaron 02-05-1934 24.265571526351813
116 116 6 1 1958-05-31 MLN @ PIT "Ron Kline" "tied 0-0" "t 1" 1 --- 1 2 9 0.103 58% "Home Run (Deep CF)" Aaron 02-05-1934 24.314852840520192
117 117 7 1 1958-06-03 MLN @ SFG "Ruben Gomez" "ahead 3-2" "t 5" 1 --- 1 2 9 0.122 74% "Home Run (Deep RF)" Aaron 02-05-1934 24.32306639288159
118 118 8 2 1958-06-03 MLN @ SFG "Marv Grissom" "ahead 6-5" "t 9" 1 --- 1 2 9 0.096 92% "Home Run (Deep RF)" Aaron 02-05-1934 24.32306639288159
119 119 9 1 1958-06-08 MLN @ LAD "Johnny Podres" "behind 3-9" "t 5" 2 --- 1 4 8 0.019 4% "Home Run (Fly Ball to LF-CF)" Aaron 02-05-1934 24.33675564681725
120 120 10 1 1958-06-10 MLN @ CHC "Dick Drott" "ahead 2-1" "t 3" 0 12- 3 4 9 0.164 87% "Home Run; Bruton Scores; Mathews Scores" Aaron 02-05-1934 24.34223134839151
121 121 11 1 1958-06-20 MLN NA STL "Billy Muffett" "ahead 3-2" "b 8" 0 123 4 5 9 0.043 100% "Home Run (Deep CF); Bruton Scores; Mathews Scores; Torre Scores" Aaron 02-05-1934 24.369609856262834
122 122 12 1 1958-06-27 MLN NA LAD "Sandy Koufax" "behind 0-1" "b 4" 0 --- 1 3 9 0.145 56% "Home Run (Fly Ball to Deep CF)" Aaron 02-05-1934 24.38877481177276
123 123 13 1 1958-06-28 MLN NA LAD "Carl Erskine" "ahead 4-2" "b 7" 0 --- 1 3 9 0.051 95% "Home Run (Fly Ball to LF-CF)" Aaron 02-05-1934 24.39151266255989
124 124 14 1 1958-06-29 MLN NA LAD "Don Drysdale" "ahead 5-1" "b 6" 0 123 4 3 9 0.015 100% "Home Run (Line Drive to Deep RF); Rush Scores; Schoendienst Scores; Mathews Scores" Aaron 02-05-1934 24.39425051334702
125 125 15 1 1958-07-12 MLN @ SFG "Johnny Antonelli" "behind 1-5" "t 6" 1 1-- 2 4 9 0.103 18% "Home Run (Deep LF); Mathews Scores" Aaron 02-05-1934 24.42984257357974
126 126 16 1 1958-07-15 MLN @ STL "Sal Maglie" "tied 0-0" "t 2" 0 --- 1 4 9 0.103 60% "Home Run (Deep LF)" Aaron 02-05-1934 24.438056125941134
127 127 17 2 1958-07-15 MLN @ STL "Sal Maglie" "ahead 1-0" "t 4" 0 --- 1 4 9 0.106 73% "Home Run (Deep LF)" Aaron 02-05-1934 24.438056125941134
128 128 18 1 1958-07-16 MLN @ STL "Chuck Stobbs" "tied 5-5" "t 5" 1 --- 1 4 9 0.144 61% "Home Run (Deep RF)" Aaron 02-05-1934 24.44079397672827
129 129 19 1 1958-07-18 MLN @ CHC "John Briggs" "behind 2-3" "t 6" 1 --- 1 4 9 0.169 47% "Home Run (LF-CF)" Aaron 02-05-1934 24.44626967830253
130 130 20 1 1958-07-19 MLN @ CHC "Moe Drabowsky" "ahead 1-0" "t 1" 1 1-- 2 4 9 0.156 76% "Home Run (Deep LF); Torre Scores" Aaron 02-05-1934 24.449007529089663
131 131 21 1 1958-07-25 MLN NA CHC "Don Elston" "ahead 3-1" "b 7" 2 --- 1 4 9 0.059 94% "Home Run" Aaron 02-05-1934 24.465434633812457
132 132 22 1 1958-07-27 MLN NA CHC "Dave Hillman" "tied 0-0" "b 1" 2 1-- 2 4 9 0.198 72% "Home Run (Deep CF); Mathews Scores" Aaron 02-05-1934 24.470910335386723
133 133 23 1 1958-07-31 MLN NA LAD "Johnny Podres" "tied 0-0" "b 4" 1 --- 1 4 9 0.143 67% "Home Run (Line Drive to LF-CF)" Aaron 02-05-1934 24.48186173853525
134 134 24 1 1958-08-02 MLN NA SFG "Ramon Monzant" "ahead 8-0" "b 7" 0 --- 1 4 9 0.001 100% "Home Run (Deep LF)" Aaron 02-05-1934 24.487337440109513
135 135 25 1 1958-08-06 MLN NA PIT "Vern Law" "behind 0-1" "b 1" 2 1-- 2 4 9 0.211 62% "Home Run (Deep LF); Schoendienst Scores" Aaron 02-05-1934 24.49828884325804
136 136 26 1 1958-08-19 MLN @ LAD "Johnny Podres" "behind 0-7" "t 7" 2 1-- 2 4 9 0.012 2% "Home Run (Fly Ball to LF-CF); Mathews Scores" Aaron 02-05-1934 24.53388090349076
137 137 27 1 1958-08-21 MLN @ LAD "Sandy Koufax" "tied 0-0" "t 4" 0 --- 1 4 9 0.124 62% "Home Run (Fly Ball to Deep LF)" Aaron 02-05-1934 24.539356605065024
138 138 28 1 1958-08-24 MLN @ SFG "Al Worthington" "tied 5-5" "t 10" 0 1-- 2 4 9 0.348 93% "Home Run (LF-CF); Mathews Scores" Aaron 02-05-1934 24.54757015742642
