"Season"	"STATE"	"O_RUNS.ROI"	"N"
"163"	2002	"010 2"	"2"	343
"164"	2002	"010 2"	"3"	127
"165"	2002	"010 2"	"4+"	61
"166"	2002	"011 0"	"0"	97
"167"	2002	"011 0"	"1"	159
"168"	2002	"011 0"	"2"	214
"169"	2002	"011 0"	"3"	99
"170"	2002	"011 0"	"4+"	86
"171"	2002	"011 1"	"0"	549
"172"	2002	"011 1"	"1"	491
"173"	2002	"011 1"	"2"	353
"174"	2002	"011 1"	"3"	147
"175"	2002	"011 1"	"4+"	140
"176"	2002	"011 2"	"0"	1411
"177"	2002	"011 2"	"1"	113
"178"	2002	"011 2"	"2"	258
"179"	2002	"011 2"	"3"	100
"180"	2002	"011 2"	"4+"	68
"181"	2002	"100 0"	"0"	6436
"182"	2002	"100 0"	"1"	1980
"183"	2002	"100 0"	"2"	1429
"184"	2002	"100 0"	"3"	741
"185"	2002	"100 0"	"4+"	652
"186"	2002	"100 1"	"0"	9461
"187"	2002	"100 1"	"1"	1599
"188"	2002	"100 1"	"2"	1122
"189"	2002	"100 1"	"3"	504
"190"	2002	"100 1"	"4+"	361
"191"	2002	"100 2"	"0"	11332
"192"	2002	"100 2"	"1"	772
"193"	2002	"100 2"	"2"	588
"194"	2002	"100 2"	"3"	184
"195"	2002	"100 2"	"4+"	103
"196"	2002	"101 0"	"0"	124
"197"	2002	"101 0"	"1"	469
"198"	2002	"101 0"	"2"	181
"199"	2002	"101 0"	"3"	148
"200"	2002	"101 0"	"4+"	144
"201"	2002	"101 1"	"0"	804
"202"	2002	"101 1"	"1"	834
"203"	2002	"101 1"	"2"	248
"204"	2002	"101 1"	"3"	209
"205"	2002	"101 1"	"4+"	158
"206"	2002	"101 2"	"0"	2129
"207"	2002	"101 2"	"1"	435
"208"	2002	"101 2"	"2"	171
"209"	2002	"101 2"	"3"	140
"210"	2002	"101 2"	"4+"	84
"211"	2002	"110 0"	"0"	1025
"212"	2002	"110 0"	"1"	622
"213"	2002	"110 0"	"2"	448
"214"	2002	"110 0"	"3"	370
"215"	2002	"110 0"	"4+"	343
"216"	2002	"110 1"	"0"	2925
"217"	2002	"110 1"	"1"	857
"218"	2002	"110 1"	"2"	567
"219"	2002	"110 1"	"3"	435
"220"	2002	"110 1"	"4+"	319
"221"	2002	"110 2"	"0"	4748
"222"	2002	"110 2"	"1"	665
"223"	2002	"110 2"	"2"	346
"224"	2002	"110 2"	"3"	270
"225"	2002	"110 2"	"4+"	142
"226"	2002	"111 0"	"0"	91
"227"	2002	"111 0"	"1"	213
"228"	2002	"111 0"	"2"	137
"229"	2002	"111 0"	"3"	110
"230"	2002	"111 0"	"4+"	180
"231"	2002	"111 1"	"0"	631
"232"	2002	"111 1"	"1"	506
"233"	2002	"111 1"	"2"	271
"234"	2002	"111 1"	"3"	184
"235"	2002	"111 1"	"4+"	269
"236"	2002	"111 2"	"0"	1517
"237"	2002	"111 2"	"1"	218
"238"	2002	"111 2"	"2"	221
"239"	2002	"111 2"	"3"	125
"240"	2002	"111 2"	"4+"	155
"241"	2003	"000 0"	"0"	32253
"242"	2003	"000 0"	"1"	7113
"243"	2003	"000 0"	"2"	3158
"244"	2003	"000 0"	"3"	1568
"245"	2003	"000 0"	"4+"	1250
"246"	2003	"000 1"	"0"	26866
"247"	2003	"000 1"	"1"	3292
"248"	2003	"000 1"	"2"	1305
"249"	2003	"000 1"	"3"	535
"250"	2003	"000 1"	"4+"	345
"251"	2003	"000 2"	"0"	23779
"252"	2003	"000 2"	"1"	1270
"253"	2003	"000 2"	"2"	431
"254"	2003	"000 2"	"3"	132
"255"	2003	"000 2"	"4+"	61
"256"	2003	"001 0"	"0"	78
"257"	2003	"001 0"	"1"	269
"258"	2003	"001 0"	"2"	70
"259"	2003	"001 0"	"3"	32
"260"	2003	"001 0"	"4+"	36
"261"	2003	"001 1"	"0"	609
"262"	2003	"001 1"	"1"	984
"263"	2003	"001 1"	"2"	211
"264"	2003	"001 1"	"3"	116
"265"	2003	"001 1"	"4+"	64
"266"	2003	"001 2"	"0"	2222
"267"	2003	"001 2"	"1"	621
"268"	2003	"001 2"	"2"	151
"269"	2003	"001 2"	"3"	53
"270"	2003	"001 2"	"4+"	27
"271"	2003	"010 0"	"0"	1279
"272"	2003	"010 0"	"1"	1231
"273"	2003	"010 0"	"2"	514
"274"	2003	"010 0"	"3"	276
"275"	2003	"010 0"	"4+"	237
"276"	2003	"010 1"	"0"	3561
"277"	2003	"010 1"	"1"	1492
"278"	2003	"010 1"	"2"	577
"279"	2003	"010 1"	"3"	263
"280"	2003	"010 1"	"4+"	194
"281"	2003	"010 2"	"0"	5898
"282"	2003	"010 2"	"1"	1151
"283"	2003	"010 2"	"2"	358
"284"	2003	"010 2"	"3"	131
"285"	2003	"010 2"	"4+"	76
"286"	2003	"011 0"	"0"	85
"287"	2003	"011 0"	"1"	173
"288"	2003	"011 0"	"2"	198
"289"	2003	"011 0"	"3"	97
"290"	2003	"011 0"	"4+"	94
"291"	2003	"011 1"	"0"	506
"292"	2003	"011 1"	"1"	473
"293"	2003	"011 1"	"2"	356
"294"	2003	"011 1"	"3"	169
"295"	2003	"011 1"	"4+"	145
"296"	2003	"011 2"	"0"	1338
"297"	2003	"011 2"	"1"	96
"298"	2003	"011 2"	"2"	235
"299"	2003	"011 2"	"3"	83
"300"	2003	"011 2"	"4+"	41
"301"	2003	"100 0"	"0"	6352
"302"	2003	"100 0"	"1"	2115
"303"	2003	"100 0"	"2"	1395
"304"	2003	"100 0"	"3"	796
"305"	2003	"100 0"	"4+"	668
"306"	2003	"100 1"	"0"	9494
"307"	2003	"100 1"	"1"	1610
"308"	2003	"100 1"	"2"	1139
"309"	2003	"100 1"	"3"	536
"310"	2003	"100 1"	"4+"	348
"311"	2003	"100 2"	"0"	11449
"312"	2003	"100 2"	"1"	830
"313"	2003	"100 2"	"2"	638
